REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.persistence.ResourceToolTest#testCopy,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-base-ms, org.apache.kylin.common.persistence.ResourceToolTest#testCopy,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-max-ms, org.apache.kylin.common.persistence.ResourceToolTest#testCopy,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.util.SourceConfigurationUtilTest#testHiveConf,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsRuntimeException,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.restclient.connection.max-total, org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsRuntimeException,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.restclient.connection.default-max-per-route, org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsRuntimeException,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.persistence.HDFSResourceStoreTest#testListResourcesImpl,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.storage.project-isolation-enable, org.apache.kylin.common.persistence.HDFSResourceStoreTest#testListResourcesImpl,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testPropertiesHotLoad,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.storage.hbase.owner-tag, org.apache.kylin.common.KylinConfigTest#testPropertiesHotLoad,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.query.calcite.extras-props.caseSensitive, org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.query.calcite.extras-props.quoting, org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,  , GOOD
