,REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
0,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.check-copy-on-write,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,TRUE,GOOD, 
1,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.check-copy-on-write,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,FALSE,GOOD, 
2,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.check-copy-on-write,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,false,GOOD, 
3,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.check-copy-on-write,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,true,GOOD, 
4,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.realization-providers,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,null,GOOD, 
5,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.realization-providers,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,obviously-bad-value,BAD, 
6,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,null,GOOD, 
7,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,obviously-bad-value,BAD, 
8,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.server.cluster-servers,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,,GOOD, 
9,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.server.cluster-servers,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,obviously-bad-value,BAD, 
10,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,kylin_metadata@hbase,GOOD, 
11,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,,GOOD, 
12,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,obviously-bad-value,BAD, 
13,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testAllNulls,kylin_metadata@hbase,GOOD, 
14,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testAllNulls,,GOOD, 
15,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testAllNulls,obviously-bad-value,BAD, 
16,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testSomeNull,kylin_metadata@hbase,GOOD, 
17,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testSomeNull,,GOOD, 
18,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.translate.FuzzyValueCombinationTest#testSomeNull,obviously-bad-value,BAD, 
19,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testSingleThread,kylin_metadata@hbase,GOOD, 
20,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testSingleThread,,GOOD, 
21,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testSingleThread,obviously-bad-value,BAD, 
22,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testMultipleThread,kylin_metadata@hbase,GOOD, 
23,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testMultipleThread,,GOOD, 
24,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.storage.StorageFactoryTest#testMultipleThread,obviously-bad-value,BAD, 
