,REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
0,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,0,GOOD, 
1,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,-300,BAD, 
2,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.HybridCubeCLITest#test1Create,0,GOOD, 
3,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.HybridCubeCLITest#test1Create,-300,BAD, 
4,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,0,GOOD, 
5,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,-300,BAD, 
6,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,0,GOOD, 
7,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.cube.aggrgroup.max-combination,org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,-300,BAD, 
8,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,obviously-bad-value,BAD, 
9,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,decimal,GOOD, 
10,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,0,GOOD, 
11,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,-300,BAD, 
12,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,obviously-bad-value,BAD, 
13,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,decimal,GOOD, 
14,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,0,GOOD, 
15,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,-300,BAD, 
16,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,obviously-bad-value,BAD, 
17,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,decimal,GOOD, 
18,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,0,GOOD, 
19,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-decimal-precision,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,-300,BAD, 
20,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,obviously-bad-value,BAD, 
21,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,null,GOOD, 
22,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.HybridCubeCLITest#test1Create,obviously-bad-value,BAD, 
23,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.HybridCubeCLITest#test1Create,null,GOOD, 
24,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,obviously-bad-value,BAD, 
25,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,null,GOOD, 
26,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,obviously-bad-value,BAD, 
27,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.data-model-impl,org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,null,GOOD, 
28,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,obviously-bad-value,BAD, 
29,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,varchar,GOOD, 
30,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,0,GOOD, 
31,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,-300,BAD, 
32,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,obviously-bad-value,BAD, 
33,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,varchar,GOOD, 
34,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,0,GOOD, 
35,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.source.hive.default-varchar-precision,org.apache.kylin.tool.HybridCubeCLITest#test1Create,-300,BAD, 
