REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.check-copy-on-write, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, TRUE, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.check-copy-on-write, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, FALSE, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.check-copy-on-write, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, false, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.check-copy-on-write, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, true, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.realization-providers, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.realization-providers, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, kylin_metadata@hbase, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.storage.hybrid.HybridManagerTest#testBasics, obviously-bad-value, BAD, PASS
