REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.HybridCubeCLITest#test1Create, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.HybridCubeCLITest#test1Create, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, 0, GOOD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.aggrgroup.max-combination, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, -300, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, decimal, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, decimal, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, decimal, GOOD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-decimal-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.HybridCubeCLITest#test1Create, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.HybridCubeCLITest#test1Create,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.data-model-impl, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, varchar, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, varchar, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.HybridCubeCLITest#test1Create, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, varchar, GOOD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, obviously-bad-value, BAD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, varchar, GOOD, FAIL
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, 0, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.source.hive.default-varchar-precision, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, -300, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.HybridCubeCLITest#test1Create, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.HybridCubeCLITest#test1Create,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-servers, org.apache.kylin.tool.metrics.systemcube.SCCreatorTest#testExecute,  , GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, org.apache.kylin.cube.cuboid.DefaultCuboidScheduler, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.HybridCubeCLITest#test1Create, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.HybridCubeCLITest#test1Create, org.apache.kylin.cube.cuboid.DefaultCuboidScheduler, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, obviously-bad-value, BAD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.cube.cuboid-scheduler, org.apache.kylin.tool.CubeMetaExtractorTest#testExtractorByPrj, org.apache.kylin.cube.cuboid.DefaultCuboidScheduler, GOOD, PASS
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.tool.HybridCubeCLITest#testSegmentNotOverlap, obviously-bad-value, BAD, PASS
